recency,frequency,monetary
42,1,76.74
601,1,111.98
311,1,138.21
160,1,666.45
374,1,35.09
264,1,1230.0
490,1,27.09
391,1,20.0
43,1,51.16
126,1,412.76
128,1,64.21
723,1,143.4
85,1,302.03
304,1,158.21
250,1,69.73
152,1,75.01
496,1,42.68
230,1,22.84
112,1,323.39
292,1,111.93
136,1,21.04
248,1,137.58
244,1,46.0
574,1,34.51
348,1,375.93
304,1,105.01
59,1,77.37
581,1,396.9
215,1,26.93
540,1,60.11
414,1,119.48
51,1,520.02
354,1,198.96
244,1,167.52
208,1,171.0
320,1,175.5
63,1,113.33
486,1,69.47
616,1,160.77
75,1,69.16
67,1,433.83
458,1,27.39
129,2,128.22
195,1,149.78
89,1,252.53
426,1,195.91
189,1,22.6
381,1,83.41
294,1,182.29
139,1,108.59
412,1,84.23
41,1,81.95
150,1,62.38
157,1,77.97
202,2,117.62
84,1,57.99
212,1,20.75
108,1,153.77
116,1,98.97
336,1,171.74
270,1,93.01
473,1,130.47
367,1,351.96
439,1,408.12
482,1,37.62
52,1,134.48
727,1,263.93
158,1,96.13
263,1,117.85
262,1,44.0
116,1,119.82
35,1,106.93
90,1,173.3
570,1,186.61
173,1,101.38
136,1,31.99
66,1,889.15
167,1,128.75
183,1,162.06
163,1,112.68
349,1,51.2
379,1,43.62
207,1,372.08
571,1,481.07
448,1,37.0
121,1,109.5
62,1,221.28
232,1,96.22
51,1,45.46
148,1,66.78
313,1,89.63
189,1,145.45
200,1,77.89
306,1,132.05
259,1,246.04
519,1,156.18
311,1,132.02
310,1,55.0
211,1,158.8
561,1,204.52
102,1,92.01
372,1,188.32
102,1,504.65
423,1,162.7
355,1,347.4
483,1,245.89
544,1,169.44
194,1,98.98
164,1,228.02
244,1,112.3
529,1,250.68
574,1,38.11
57,1,161.12
232,1,98.51
580,1,165.37
167,1,688.24
219,1,42.68
240,1,127.43
251,1,52.59
161,1,343.4
119,1,121.7
104,1,336.27
490,1,36.75
176,1,352.02
363,1,379.2
417,1,11.17
357,1,44.0
529,1,142.61
485,1,112.85
139,1,80.37
252,1,22.84
179,1,44.54
133,1,206.04
298,1,55.09
48,1,209.3
223,1,100.53
199,1,5.09
152,1,69.14
275,1,719.15
435,1,51.5
263,1,20.0
385,1,86.15
307,1,144.75
512,1,29.77
525,1,23.59
348,1,102.12
232,1,84.13
334,1,45.76
167,1,33.88
566,1,56.34
153,1,181.19
258,1,120.17
69,1,571.85
145,1,92.1
487,1,245.35
501,1,206.08
489,1,152.39
160,1,232.54
216,1,55.24
434,1,57.72
167,1,231.55
227,1,187.43
423,1,68.18
203,1,443.85
35,1,20.0
148,1,134.89
74,1,48.77
237,1,310.08
493,1,194.71
263,1,132.05
134,1,194.56
219,1,106.16
156,1,96.26
221,1,75.17
453,1,52.77
206,1,91.47
172,2,65.06
292,1,76.76
369,1,4.74
435,1,73.34
118,1,52.32
195,1,35.75
576,1,85.6
278,1,84.82
383,1,126.18
138,1,155.82
200,1,70.14
530,1,379.71
48,1,209.53
262,1,215.11
242,1,45.09
304,1,1194.38
512,1,161.23
253,1,63.27
305,1,221.67
560,1,36.95
318,1,178.59
223,1,76.19
208,1,45.69
103,1,126.57
462,1,1422.05
69,1,99.75
542,1,312.38
130,1,104.62
279,1,35.77
434,1,162.15
487,1,228.79
286,1,70.15
199,1,172.48
555,1,128.1
424,1,27.77
194,1,42.29
558,2,97.19999999999999
140,1,28.22
331,1,212.86
210,1,100.47
236,1,31.77
315,1,150.0
166,1,200.36
306,1,105.38
282,1,31.75
270,1,196.5
211,1,605.93
139,1,47.41
232,1,138.24
216,1,277.25
121,1,1437.64
357,1,267.99
197,1,169.61
362,1,31.75
584,2,40.9
57,1,35.36
68,1,224.1
74,1,890.82
211,2,112.2
290,1,353.3
530,1,95.76
561,1,166.11
362,1,187.23
215,1,85.14
43,1,186.85
390,1,73.56
74,1,227.72
226,1,200.55
107,1,99.65
580,1,40.74
264,1,37.0
327,1,387.27
110,1,170.96
51,1,70.89
164,1,48.22
517,1,150.89
312,1,72.14
391,1,406.14
528,1,1148.88
358,1,327.37
134,1,47.7
151,1,57.29
301,1,58.58
461,1,158.38
140,1,89.61
270,1,145.56
299,1,88.72
454,1,46.01
309,1,101.34
132,1,46.19
358,1,76.08
100,1,196.01
230,1,101.86
57,1,117.73
340,1,711.07
252,1,144.15
93,1,164.94
587,1,43.77
223,1,27.85
103,1,53.35
481,1,117.46
321,1,142.64
44,1,51.04
481,1,163.78
138,1,83.32
326,1,225.43
440,1,251.02
160,1,111.53
217,1,104.76
189,1,168.83
68,1,64.44
107,1,1359.47
511,1,85.14
523,1,182.94
521,1,34.78
575,1,117.0
182,1,129.79
302,1,201.16
510,1,24.84
300,1,190.37
545,1,326.81
218,1,157.86
230,1,299.34
292,1,77.57
106,1,194.12
569,1,40.65
75,1,40.24
507,1,43.0
266,1,183.61
199,1,189.1
523,1,20.0
88,2,259.32
175,1,209.2
508,1,413.75
465,1,118.07
420,1,396.2
246,1,241.27
220,1,107.36
