"date","close","volume","open","high","low"

"2019/04/12","1497.1180","0.0000","1490.4270","1497.1310","1484.9630"
"2019/04/11","1476.0700","0.0000","1478.3300","1486.0190","1471.6130"
"2019/04/10","1477.1580","0.0000","1465.2350","1481.3040","1463.6370"
"2019/04/09","1464.5160","0.0000","1472.2380","1472.2380","1458.2640"
"2019/04/08","1481.3770","0.0000","1472.3310","1482.4780","1468.1230"
"2019/04/05","1477.6460","0.0000","1475.1390","1478.1030","1467.0190"
"2019/04/04","1465.8940","0.0000","1460.0170","1475.2750","1458.9000"
"2019/04/03","1464.1950","0.0000","1451.6460","1476.6140","1450.6050"
"2019/04/02","1431.6300","0.0000","1431.5500","1434.8510","1423.2250"
"2019/04/01","1430.2440","0.0000","1417.6600","1431.5510","1410.5170"
"2019/03/29","1395.5110","0.0000","1392.0850","1398.0530","1386.8860"
"2019/03/28","1373.8010","0.0000","1380.1750","1391.1380","1365.1620"
"2019/03/27","1376.4820","0.0000","1398.5190","1402.0780","1366.6950"
"2019/03/26","1396.7490","0.0000","1399.8550","1408.7420","1386.3210"
"2019/03/25","1382.7480","0.0000","1388.3910","1403.0340","1371.9120"
"2019/03/22","1400.3690","0.0000","1433.2050","1437.6340","1399.7330"
"2019/03/21","1441.8300","0.0000","1399.5240","1450.7580","1399.5240"
"2019/03/20","1393.0100","0.0000","1410.1240","1413.8190","1384.8690"
"2019/03/19","1407.3540","0.0000","1398.5460","1411.6770","1398.5450"
"2019/03/18","1388.7730","0.0000","1392.6640","1401.7230","1380.8810"
"2019/03/15","1392.3550","0.0000","1373.7570","1402.4470","1371.2230"
"2019/03/14","1353.0620","0.0000","1362.2240","1367.0820","1352.5700"
"2019/03/13","1360.7680","0.0000","1362.7530","1371.3330","1358.8280"
"2019/03/12","1355.1250","0.0000","1354.2270","1362.1340","1342.6310"
"2019/03/11","1349.8760","0.0000","1325.9490","1355.8120","1324.4760"
"2019/03/08","1318.2060","0.0000","1297.2430","1319.3310","1292.7620"
"2019/03/07","1319.0900","0.0000","1326.9200","1328.5970","1311.4040"
